UserID,Achronim,Biography,Chassidus,Children's,Cookbooks,English Halacha,Eng. Mussar & Machshava,English Tanach,Gemara,Haggada,Hebrew Halacha,Heb. Mussar & Machshava,Hebrew Tanach,History,Judaica,Midrashim,Mishna,Music,Novels,Reference,Rishonim,Scholarly Works,Shailot u'Teshuvot,Siddurim,Tefillah,Yeshiva University
1,,,,,,,,,,2,,,,,,,,,,,,,,,,1
2,,,,,,3,3,2,,,,1,,,,,,,,,1,,,,,
3,,,,,,,2,,,,,,,,,,1,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,3,,3,1,2,5,,,,,,,,,,,,,,,,,2
6,,,,,,,,,5,,,,,,,,,,,,,,,,,
7,,,,,,,1,,,,,,,,,,,,,,,1,,,,
8,,1,,,,1,,,,,,,,,,,,,,,,,,,,
9,,,,,,,3,,,,,,,,,,,,,1,,,,,,
10,,,,,,,,,,,2,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,1,,,,,
12,,1,,,,,,5,,,,,,4,,1,,,,1,,,,,,
13,,,,,1,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,1,,,,,,,,,,5,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,1,,,,,,1,,,,,,,,,,,,,,,,,,
17,,,,,,,1,,,,,,,,,,,,,1,,,,,,
18,,,,,,1,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,2,,,,,,,,,,,,,,,,,,
20,,,,,,,,2,,1,,,,,,,,,,,,,,,,
21,5,4,,,,,,,,,5,,,,,,3,,,,5,,,,,
22,,,,,,,,,,,1,,,,,,,,,,,,,,,
23,,,3,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,1,,,,,,,3,,,,,,,,,
25,,,,,,,2,,,,2,,,,,,,,,,,,1,,,
26,,,,,,,,1,,1,,,,,,,,,,1,,,,,,1
27,,,,1,,,,,,,,,,,,,1,,,,,,,,,
28,,,,,,3,,,5,,2,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,1,,,,,,
30,,,,,,1,,,,,3,,,,,,,,,,,,,,,1
31,,,,,,1,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,1,,,,,,,
33,1,,,1,,,3,1,,2,,,,,,,,,,1,,,,,,
34,,1,,,,1,1,1,,,1,,,,,,,,,,,,,,,
35,,,,,,,,,4,,,4,,,,,,,,,,,,,,
36,,,1,,1,1,5,3,,,1,,,,,,,,,,,,1,,,
37,3,,,,1,,,1,,,,,,,,,,,,,,,,,,
38,,,,,,1,1,,,,,,,,,,,,,,,,,,1,
39,1,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,"4, 5",,,,,,,,,,,,,,,,,,3,
41,,1,,,,,,,1,,,,,,,,,,,,,,,,,
42,,,,,,,,,2,,,,,,,,,,,,,,,,,
43,,,,,,1,2,3,,,1,,,,,,,,,1,,,,,,
44,1,,,,,1,,,,,,,,,1,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,1,,,,,,
46,,1,,,,,4,1,,,,,,,,,,,,,,,,,,
47,,,,,,1,1,3,,,,,,,,,,,,,,,,,,
48,,,,,,,2,1,,,,,1,,,,,,,,,,,1,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,2,,,,,,,,,,,,,,,,,,,,
51,,,,,,,1,,,,,,,,,,,,,,,,,,1,
52,,,,,,,,,,,,1,,,,,,,,,,,,,,
53,,,,,,,,,,,,3,1,,,,,,,,,1,,,,
54,,1,1,,,,,1,,,,,,,,,,,,,,,,,,
55,,,,,,,1,,,,,,,,,,,,,,,,,,,
56,,,,,,1,,1,2,,1,,,,,,1,,,,,,,,,
57,,,,,,1,,1,2,,1,,,,,,,1,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1,,1,1,,,4,,,,1,,,,,,,,,,,,,,,
60,,,,,,,2,,,,,,,,,,,,,1,,,,,,
61,,2,,,,,,,,,,,5,4,,,,,,,,1,,,,
62,1,2,2,"1, 2",1,3,4,1,1,1,1,1,1,"1, 2",1,1,1,1,1,1,1,1,1,1,1,1
